Serial,Bin,X,Y,X_old,Y_old,VTH,GET VTH <1.5V,GET VTH >6V,VFSD,BVDSS_2,BVDSS_1,BVDSS bin2,Delta3,IPD_10V,IDSS1,IDSS2,IDSS3,Wafer_ID
200,2,3,8,32,0,2.333,2.3,2.333,0.5299,21.592,20.971,20.974,0.621,31.564,0.032,0.029,0.033,9
201,2,3,7,33,0,2.33,2.3,2.33,0.5104,21.553,20.987,20.987,0.566,31.357,0.033,0.032,0.038,9
202,2,3,6,34,0,2.29,2.2,2.29,0.4993,21.279,20.928,20.926,0.351,31.178,0.032,0.032,0.035,9
203,2,3,5,35,0,2.291,2.2,2.291,0.5144,21.385,20.967,20.967,0.418,31.437,0.039,0.052,0.073,9
204,2,3,4,36,0,2.256,2.2,2.256,0.5022,21.34,20.953,20.954,0.387,31.301,0.032,0.029,0.033,9
205,2,3,3,37,0,2.257,2.2,2.257,0.4988,21.258,20.996,20.995,0.262,31.134,0.032,0.029,0.033,9
206,2,3,2,38,0,2.235,2.2,2.235,0.498,21.347,21.053,21.052,0.294,30.917,0.032,0.03,0.033,9
207,2,3,1,39,0,2.327,2.3,2.327,0.5118,21.395,20.975,20.974,0.42,31.566,0.033,0.03,0.033,9
208,2,4,13,40,0,2.237,2.2,2.237,0.5128,21.702,21.124,21.122,0.578,30.441,0.033,0.03,0.033,9
209,2,4,12,41,0,2.25,2.2,2.25,0.5091,21.73,21.283,21.282,0.447,30.74,0.03,0.029,0.033,9
210,2,4,11,42,0,2.253,2.2,2.253,0.5125,21.578,21.029,21.027,0.549,30.8,0.032,0.03,0.033,9
211,2,4,10,43,0,2.327,2.3,2.327,0.5006,21.291,20.982,20.977,0.309,30.999,0.033,0.033,0.041,9
212,2,4,9,44,0,2.306,2.3,2.306,0.5216,21.401,20.945,20.944,0.456,31.36,0.032,0.03,0.035,9
213,2,4,8,45,0,2.334,2.3,2.334,0.5005,21.221,20.934,20.934,0.287,31.66,0.033,0.032,0.035,9
214,2,4,7,46,0,2.329,2.3,2.329,0.5346,21.466,20.984,20.982,0.482,31.025,0.041,0.052,0.068,9
